username,repo_name,stars,repo_url
mrdoob,three.js,83800,http://github.com/mrdoob/three.js
libgdx,libgdx,20200,http://github.com/libgdx/libgdx
pmndrs,react-three-fiber,18800,http://github.com/pmndrs/react-three-fiber
BabylonJS,Babylon.js,17900,http://github.com/BabylonJS/Babylon.js
aframevr,aframe,14400,http://github.com/aframevr/aframe
ssloy,tinyrenderer,14200,http://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,13400,http://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,11800,http://github.com/FreeCAD/FreeCAD
metafizzy,zdog,9200,http://github.com/metafizzy/zdog
CesiumGS,cesium,9000,http://github.com/CesiumGS/cesium
timzhang642,3D-Machine-Learning,8100,http://github.com/timzhang642/3D-Machine-Learning
a1studmuffin,SpaceshipGenerator,7200,http://github.com/a1studmuffin/SpaceshipGenerator
isl-org,Open3D,7100,http://github.com/isl-org/Open3D
blender,blender,6100,http://github.com/blender/blender
domlysz,BlenderGIS,5400,http://github.com/domlysz/BlenderGIS
spritejs,spritejs,4900,http://github.com/spritejs/spritejs
openscad,openscad,4900,http://github.com/openscad/openscad
tensorspace-team,tensorspace,4700,http://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4700,http://github.com/jagenjo/webglstudio.js
YadiraF,PRNet,4600,http://github.com/YadiraF/PRNet
google,model-viewer,4500,http://github.com/google/model-viewer
AaronJackson,vrn,4400,http://github.com/AaronJackson/vrn
ssloy,tinyraytracer,4200,http://github.com/ssloy/tinyraytracer
FyroxEngine,Fyrox,4200,http://github.com/FyroxEngine/Fyrox
mosra,magnum,4100,http://github.com/mosra/magnum
tengbao,vanta,3900,http://github.com/tengbao/vanta
gfxfundamentals,webgl-fundamentals,3700,http://github.com/gfxfundamentals/webgl-fundamentals
cleardusk,3DDFA,3300,http://github.com/cleardusk/3DDFA
jasonlong,isometric-contributions,3200,http://github.com/jasonlong/isometric-contributions
cnr-isti-vclab,meshlab,3100,http://github.com/cnr-isti-vclab/meshlab
