username,repo_name,stars,repo_url
public-apis,public-apis,202000,http://github.com/public-apis/public-apis
neovim,neovim,56000,http://github.com/neovim/neovim
tiangolo,fastapi,47500,http://github.com/tiangolo/fastapi
strapi,strapi,46400,http://github.com/strapi/strapi
hoppscotch,hoppscotch,45200,http://github.com/hoppscotch/hoppscotch
slatedocs,slate,34300,http://github.com/slatedocs/slate
meilisearch,meilisearch,28100,http://github.com/meilisearch/meilisearch
hasura,graphql-engine,27500,http://github.com/hasura/graphql-engine
ccxt,ccxt,25200,http://github.com/ccxt/ccxt
Binaryify,NeteaseCloudMusicApi,25000,http://github.com/Binaryify/NeteaseCloudMusicApi
YMFE,yapi,24700,http://github.com/YMFE/yapi
encode,django-rest-framework,23800,http://github.com/encode/django-rest-framework
httpie,httpie,22700,http://github.com/httpie/httpie
littlecodersh,ItChat,22300,http://github.com/littlecodersh/ItChat
Kong,insomnia,21700,http://github.com/Kong/insomnia
paularmstrong,normalizr,20900,http://github.com/paularmstrong/normalizr
FallibleInc,security-guide-for-developers,20300,http://github.com/FallibleInc/security-guide-for-developers
microsoft,api-guidelines,19800,http://github.com/microsoft/api-guidelines
pubkey,rxdb,17700,http://github.com/pubkey/rxdb
shieldfy,API-Security-Checklist,17500,http://github.com/shieldfy/API-Security-Checklist
directus,directus,17000,http://github.com/directus/directus
ChainSafe,web3.js,15600,http://github.com/ChainSafe/web3.js
learn-anything,learn-anything,14200,http://github.com/learn-anything/learn-anything
youfou,wxpy,13300,http://github.com/youfou/wxpy
jsdoc,jsdoc,13000,http://github.com/jsdoc/jsdoc
OpenAPITools,openapi-generator,13000,http://github.com/OpenAPITools/openapi-generator
BrainJS,brain.js,12900,http://github.com/BrainJS/brain.js
fangzesheng,free-api,12500,http://github.com/fangzesheng/free-api
go-chi,chi,11900,http://github.com/go-chi/chi
graphile,postgraphile,11400,http://github.com/graphile/postgraphile
