username,repo_name,stars,repo_url
dotnet,AspNetCore.Docs,10700,http://github.com/dotnet/AspNetCore.Docs
aspnetboilerplate,aspnetboilerplate,10500,http://github.com/aspnetboilerplate/aspnetboilerplate
bitwarden,server,10100,http://github.com/bitwarden/server
abpframework,abp,8400,http://github.com/abpframework/abp
nopSolutions,nopCommerce,7400,http://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,6400,http://github.com/ElectronNET/Electron.NET
RicoSuter,NSwag,5200,http://github.com/RicoSuter/NSwag
thangchung,clean-code-dotnet,5200,http://github.com/thangchung/clean-code-dotnet
smartstore,SmartStoreNET,2500,http://github.com/smartstore/SmartStoreNET
JimBobSquarePants,ImageProcessor,2500,http://github.com/JimBobSquarePants/ImageProcessor
dotnet,aspnet-api-versioning,2300,http://github.com/dotnet/aspnet-api-versioning
serenity-is,Serenity,2200,http://github.com/serenity-is/Serenity
loic-sharma,BaGet,2100,http://github.com/loic-sharma/BaGet
mjebrahimi,Awesome-Microservices-DotNet,1900,http://github.com/mjebrahimi/Awesome-Microservices-DotNet
TrilonIO,aspnetcore-angular-universal,1500,http://github.com/TrilonIO/aspnetcore-angular-universal
TrilonIO,aspnetcore-Vue-starter,1200,http://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,1000,http://github.com/MarimerLLC/csla
riganti,dotvvm,620,http://github.com/riganti/dotvvm
cornflourblue,aspnet-core-3-jwt-authentication-api,615,http://github.com/cornflourblue/aspnet-core-3-jwt-authentication-api
antonioCoco,SharPyShell,613,http://github.com/antonioCoco/SharPyShell
json-api-dotnet,JsonApiDotNetCore,575,http://github.com/json-api-dotnet/JsonApiDotNetCore
chsakell,mvcarchitecture,462,http://github.com/chsakell/mvcarchitecture
brthor,Gofer.NET,450,http://github.com/brthor/Gofer.NET
YAFNET,YAFNET,432,http://github.com/YAFNET/YAFNET
IvanJosipovic,BlazorTable,410,http://github.com/IvanJosipovic/BlazorTable
SapphireDb,SapphireDb,384,http://github.com/SapphireDb/SapphireDb
Maarten88,rrod,379,http://github.com/Maarten88/rrod
Taritsyn,WebMarkupMin,377,http://github.com/Taritsyn/WebMarkupMin
chsakell,aspnet-core-identity,373,http://github.com/chsakell/aspnet-core-identity
smartstore,Smartstore,359,http://github.com/smartstore/Smartstore
