username,repo_name,stars,repo_url
jwasham,coding-interview-university,227000,http://github.com/jwasham/coding-interview-university
CyC2018,CS-Notes,155000,http://github.com/CyC2018/CS-Notes
trekhleb,javascript-algorithms,146000,http://github.com/trekhleb/javascript-algorithms
TheAlgorithms,Python,141000,http://github.com/TheAlgorithms/Python
yangshun,tech-interview-handbook,74900,http://github.com/yangshun/tech-interview-handbook
kdn251,interviews,57800,http://github.com/kdn251/interviews
azl397985856,leetcode,48800,http://github.com/azl397985856/leetcode
TheAlgorithms,Java,47000,http://github.com/TheAlgorithms/Java
algorithm-visualizer,algorithm-visualizer,38100,http://github.com/algorithm-visualizer/algorithm-visualizer
youngyangyang04,leetcode-master,29700,http://github.com/youngyangyang04/leetcode-master
crossoverJie,JCSprout,26700,http://github.com/crossoverJie/JCSprout
halfrost,LeetCode-Go,26000,http://github.com/halfrost/LeetCode-Go
donnemartin,interactive-coding-challenges,25800,http://github.com/donnemartin/interactive-coding-challenges
huihut,interview,25000,http://github.com/huihut/interview
keon,algorithms,21300,http://github.com/keon/algorithms
TheAlgorithms,JavaScript,21200,http://github.com/TheAlgorithms/JavaScript
TheAlgorithms,C-Plus-Plus,20200,http://github.com/TheAlgorithms/C-Plus-Plus
trekhleb,homemade-machine-learning,19500,http://github.com/trekhleb/homemade-machine-learning
mxgmn,WaveFunctionCollapse,19400,http://github.com/mxgmn/WaveFunctionCollapse
AtsushiSakai,PythonRobotics,15700,http://github.com/AtsushiSakai/PythonRobotics
greyireland,algorithm-pattern,13600,http://github.com/greyireland/algorithm-pattern
williamfiset,Algorithms,13100,http://github.com/williamfiset/Algorithms
OpenGenus,cosmos,13000,http://github.com/OpenGenus/cosmos
halfrost,Halfrost-Field,11300,http://github.com/halfrost/Halfrost-Field
apachecn,apachecn-algo-zh,10600,http://github.com/apachecn/apachecn-algo-zh
lnishan,awesome-competitive-programming,10000,http://github.com/lnishan/awesome-competitive-programming
Blankj,awesome-java-leetcode,8400,http://github.com/Blankj/awesome-java-leetcode
gyoogle,tech-interview-for-developer,7700,http://github.com/gyoogle/tech-interview-for-developer
jeffgerickson,algorithms,7600,http://github.com/jeffgerickson/algorithms
mgechev,javascript-algorithms,7500,http://github.com/mgechev/javascript-algorithms
