username,repo_name,stars,repo_url
serverless,serverless,43100,http://github.com/serverless/serverless
localstack,localstack,42300,http://github.com/localstack/localstack
bregman-arie,devops-exercises,27900,http://github.com/bregman-arie/devops-exercises
donnemartin,data-science-ipython-notebooks,23400,http://github.com/donnemartin/data-science-ipython-notebooks
pulumi,pulumi,13100,http://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,12900,http://github.com/ramitsurana/awesome-kubernetes
aws,aws-cli,12700,http://github.com/aws/aws-cli
kubernetes-sigs,kubespray,12600,http://github.com/kubernetes-sigs/kubespray
donnemartin,awesome-aws,10500,http://github.com/donnemartin/awesome-aws
mozilla,sops,10300,http://github.com/mozilla/sops
apereo,cas,9600,http://github.com/apereo/cas
aws,chalice,9100,http://github.com/aws/chalice
aws,aws-cdk,9000,http://github.com/aws/aws-cdk
caprover,caprover,8900,http://github.com/caprover/caprover
aws-amplify,amplify-js,8800,http://github.com/aws-amplify/amplify-js
aws,serverless-application-model,8600,http://github.com/aws/serverless-application-model
apex,up,8600,http://github.com/apex/up
google,go-cloud,8500,http://github.com/google/go-cloud
angristan,openvpn-install,8400,http://github.com/angristan/openvpn-install
GoogleCloudPlatform,terraformer,8100,http://github.com/GoogleCloudPlatform/terraformer
aws,aws-sdk-go,7800,http://github.com/aws/aws-sdk-go
serverless-stack,sst,7600,http://github.com/serverless-stack/sst
hashicorp,terraform-provider-aws,7500,http://github.com/hashicorp/terraform-provider-aws
infracost,infracost,7500,http://github.com/infracost/infracost
boto,boto3,7400,http://github.com/boto/boto3
aws,amazon-sagemaker-examples,7100,http://github.com/aws/amazon-sagemaker-examples
aws,aws-sdk-js,7100,http://github.com/aws/aws-sdk-js
awslabs,aws-shell,6600,http://github.com/awslabs/aws-shell
99designs,aws-vault,6500,http://github.com/99designs/aws-vault
prowler-cloud,prowler,6300,http://github.com/prowler-cloud/prowler
