username,repo_name,stars,repo_url
amphp,amp,3600,http://github.com/amphp/amp
danog,MadelineProto,2000,http://github.com/danog/MadelineProto
amphp,http-server,1200,http://github.com/amphp/http-server
unreal4u,telegram-api,724,http://github.com/unreal4u/telegram-api
amphp,http-client,618,http://github.com/amphp/http-client
amphp,parallel,589,http://github.com/amphp/parallel
php-service-bus,service-bus,322,http://github.com/php-service-bus/service-bus
amphp,byte-stream,294,http://github.com/amphp/byte-stream
amphp,mysql,280,http://github.com/amphp/mysql
amphp,parallel-functions,226,http://github.com/amphp/parallel-functions
amphp,process,183,http://github.com/amphp/process
amphp,socket,168,http://github.com/amphp/socket
amphp,dns,123,http://github.com/amphp/dns
amphp,redis,129,http://github.com/amphp/redis
amphp,sync,113,http://github.com/amphp/sync
kelunik,acme,112,http://github.com/kelunik/acme
amphp,websocket-client,105,http://github.com/amphp/websocket-client
PeeHaa,mailgrab,92,http://github.com/PeeHaa/mailgrab
amphp,websocket-server,79,http://github.com/amphp/websocket-server
amphp,windows-registry,74,http://github.com/amphp/windows-registry
amphp,file,74,http://github.com/amphp/file
jolicode,asynit,73,http://github.com/jolicode/asynit
amphp,cache,78,http://github.com/amphp/cache
amphp,serialization,77,http://github.com/amphp/serialization
amphp,postgres,64,http://github.com/amphp/postgres
amphp,hpack,72,http://github.com/amphp/hpack
amphp,beanstalk,59,http://github.com/amphp/beanstalk
phpinnacle,ridge,47,http://github.com/phpinnacle/ridge
amphp,aerys,45,http://github.com/amphp/aerys
wind-framework,wind-framework,42,http://github.com/wind-framework/wind-framework
