username,repo_name,stars,repo_url
flutter,flutter,143000,http://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,94500,http://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,68000,http://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,53600,http://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46200,http://github.com/google/material-design-icons
wasabeef,awesome-android-ui,43300,http://github.com/wasabeef/awesome-android-ui
square,okhttp,42500,http://github.com/square/okhttp
Solido,awesome-flutter,41700,http://github.com/Solido/awesome-flutter
android,architecture-samples,41200,http://github.com/android/architecture-samples
square,retrofit,40300,http://github.com/square/retrofit
dcloudio,uni-app,36900,http://github.com/dcloudio/uni-app
fastlane,fastlane,35600,http://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35400,http://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,33000,http://github.com/airbnb/lottie-android
bumptech,glide,32800,http://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32700,http://github.com/shadowsocks/shadowsocks-android
Blankj,AndroidUtilCode,31100,http://github.com/Blankj/AndroidUtilCode
skylot,jadx,31000,http://github.com/skylot/jadx
Trinea,android-open-project,31000,http://github.com/Trinea/android-open-project
xitu,gold-miner,31000,http://github.com/xitu/gold-miner
laurent22,joplin,30800,http://github.com/laurent22/joplin
bilibili,ijkplayer,30600,http://github.com/bilibili/ijkplayer
zxing,zxing,29800,http://github.com/zxing/zxing
codepath,android_guides,27900,http://github.com/codepath/android_guides
square,leakcanary,27700,http://github.com/square/leakcanary
alibaba,fastjson,24800,http://github.com/alibaba/fastjson
appwrite,appwrite,23800,http://github.com/appwrite/appwrite
scwang90,SmartRefreshLayout,23700,http://github.com/scwang90/SmartRefreshLayout
CymChad,BaseRecyclerViewAdapterHelper,23000,http://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22600,http://github.com/react-native-elements/react-native-elements
