username,repo_name,stars,repo_url
justjavac,free-programming-books-zh_CN,94500,http://github.com/justjavac/free-programming-books-zh_CN
angular,angular,82800,http://github.com/angular/angular
storybookjs,storybook,73000,http://github.com/storybookjs/storybook
leonardomso,33-js-concepts,50100,http://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,47700,http://github.com/ionic-team/ionic-framework
prettier,prettier,43400,http://github.com/prettier/prettier
SheetJS,sheetjs,30800,http://github.com/SheetJS/sheetjs
angular,angular-cli,25500,http://github.com/angular/angular-cli
angular,components,22800,http://github.com/angular/components
NativeScript,NativeScript,21400,http://github.com/NativeScript/NativeScript
jhipster,generator-jhipster,19800,http://github.com/jhipster/generator-jhipster
goldbergyoni,javascript-testing-best-practices,18400,http://github.com/goldbergyoni/javascript-testing-best-practices
pubkey,rxdb,17700,http://github.com/pubkey/rxdb
handsontable,handsontable,16900,http://github.com/handsontable/handsontable
teambit,bit,15500,http://github.com/teambit/bit
sweetalert2,sweetalert2,14800,http://github.com/sweetalert2/sweetalert2
nrwl,nx,13700,http://github.com/nrwl/nx
linnovate,mean,12200,http://github.com/linnovate/mean
codesandbox,codesandbox-client,11700,http://github.com/codesandbox/codesandbox-client
sudheerj,javascript-interview-questions,11100,http://github.com/sudheerj/javascript-interview-questions
Chocobozzz,PeerTube,10800,http://github.com/Chocobozzz/PeerTube
PatrickJS,angular-starter,10400,http://github.com/PatrickJS/angular-starter
wailsapp,wails,9800,http://github.com/wailsapp/wails
jasontaylordev,CleanArchitecture,9100,http://github.com/jasontaylordev/CleanArchitecture
dotansimha,graphql-code-generator,9000,http://github.com/dotansimha/graphql-code-generator
ag-grid,ag-grid,8900,http://github.com/ag-grid/ag-grid
angular,protractor,8800,http://github.com/angular/protractor
OnsenUI,OnsenUI,8600,http://github.com/OnsenUI/OnsenUI
PatrickJS,awesome-angular,8400,http://github.com/PatrickJS/awesome-angular
abpframework,abp,8400,http://github.com/abpframework/abp
