username,repo_name,stars,repo_url
ansible,ansible,53900,http://github.com/ansible/ansible
bregman-arie,devops-exercises,27900,http://github.com/bregman-arie/devops-exercises
trailofbits,algo,25800,http://github.com/trailofbits/algo
StreisandEffect,streisand,22800,http://github.com/StreisandEffect/streisand
MichaelCade,90DaysOfDevOps,15800,http://github.com/MichaelCade/90DaysOfDevOps
kubernetes-sigs,kubespray,12600,http://github.com/kubernetes-sigs/kubespray
ansible,awx,11200,http://github.com/ansible/awx
easzlab,kubeasz,8300,http://github.com/easzlab/kubeasz
geerlingguy,ansible-for-devops,6000,http://github.com/geerlingguy/ansible-for-devops
khuedoan,homelab,5900,http://github.com/khuedoan/homelab
curlconverter,curlconverter,5700,http://github.com/curlconverter/curlconverter
ansible-semaphore,semaphore,5100,http://github.com/ansible-semaphore/semaphore
Tikam02,DevOps-Guide,5000,http://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,4700,http://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,4600,http://github.com/rundeck/rundeck
KubeOperator,KubeOperator,4400,http://github.com/KubeOperator/KubeOperator
clong,DetectionLab,3700,http://github.com/clong/DetectionLab
netbootxyz,netboot.xyz,3400,http://github.com/netbootxyz/netboot.xyz
ansible-community,molecule,3400,http://github.com/ansible-community/molecule
werf,werf,3300,http://github.com/werf/werf
opendevops-cn,opendevops,3200,http://github.com/opendevops-cn/opendevops
litmuschaos,litmus,3100,http://github.com/litmuschaos/litmus
welliamcao,OpsManage,3000,http://github.com/welliamcao/OpsManage
ansible,ansible-lint,2800,http://github.com/ansible/ansible-lint
dev-sec,ansible-collection-hardening,2800,http://github.com/dev-sec/ansible-collection-hardening
alixaxel,chrome-aws-lambda,2700,http://github.com/alixaxel/chrome-aws-lambda
roots,trellis,2300,http://github.com/roots/trellis
ansistrano,deploy,2200,http://github.com/ansistrano/deploy
fboender,ansible-cmdb,2100,http://github.com/fboender/ansible-cmdb
pytest-dev,pytest-testinfra,2100,http://github.com/pytest-dev/pytest-testinfra
