username,repo_name,stars,repo_url
arendst,Tasmota,18000,http://github.com/arendst/Tasmota
MarlinFirmware,Marlin,13500,http://github.com/MarlinFirmware/Marlin
arduino,Arduino,13000,http://github.com/arduino/Arduino
rwaldron,johnny-five,12700,http://github.com/rwaldron/johnny-five
tinygo-org,tinygo,11200,http://github.com/tinygo-org/tinygo
SpacehuhnTech,esp8266_deauther,10200,http://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,9000,http://github.com/espressif/arduino-esp32
hybridgroup,gobot,7800,http://github.com/hybridgroup/gobot
gurugio,lowlevelprogramming-university,7700,http://github.com/gurugio/lowlevelprogramming-university
platformio,platformio-core,6000,http://github.com/platformio/platformio-core
bblanchon,ArduinoJson,5700,http://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,5300,http://github.com/tzapu/WiFiManager
hybridgroup,cylon,3900,http://github.com/hybridgroup/cylon
Arduino-IRremote,Arduino-IRremote,3700,http://github.com/Arduino-IRremote/Arduino-IRremote
arduino,arduino-cli,3500,http://github.com/arduino/arduino-cli
blynkkk,blynk-library,3500,http://github.com/blynkkk/blynk-library
NectarJS,nectarjs,3300,http://github.com/NectarJS/nectarjs
olikraus,u8g2,3200,http://github.com/olikraus/u8g2
ClemensElflein,OpenMower,3100,http://github.com/ClemensElflein/OpenMower
Serial-Studio,Serial-Studio,2800,http://github.com/Serial-Studio/Serial-Studio
1technophile,OpenMQTTGateway,2700,http://github.com/1technophile/OpenMQTTGateway
scottbez1,splitflap,2400,http://github.com/scottbez1/splitflap
scottlawsonbc,audio-reactive-led-strip,2300,http://github.com/scottlawsonbc/audio-reactive-led-strip
isl-org,OpenBot,2200,http://github.com/isl-org/OpenBot
crankyoldgit,IRremoteESP8266,2200,http://github.com/crankyoldgit/IRremoteESP8266
Bodmer,TFT_eSPI,2000,http://github.com/Bodmer/TFT_eSPI
stm32duino,Arduino_Core_STM32,2000,http://github.com/stm32duino/Arduino_Core_STM32
nRF24,RF24,1900,http://github.com/nRF24/RF24
blinker-iot,blinker-library,1900,http://github.com/blinker-iot/blinker-library
ThingPulse,esp8266-oled-ssd1306,1700,http://github.com/ThingPulse/esp8266-oled-ssd1306
