username,repo_name,stars,repo_url
atom,atom,58300,http://github.com/atom/atom
themerdev,themer,4800,http://github.com/themerdev/themer
nteract,hydrogen,3800,http://github.com/nteract/hydrogen
miniflux,v2,3800,http://github.com/miniflux/v2
shd101wyy,markdown-preview-enhanced,3700,http://github.com/shd101wyy/markdown-preview-enhanced
atom,teletype,2400,http://github.com/atom/teletype
mmcdole,gofeed,1900,http://github.com/mmcdole/gofeed
mehcode,awesome-atom,1900,http://github.com/mehcode/awesome-atom
joefitzgerald,go-plus,1500,http://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,1500,http://github.com/Glavin001/atom-beautify
simplepie,simplepie,1500,http://github.com/simplepie/simplepie
kurtmckee,feedparser,1400,http://github.com/kurtmckee/feedparser
ocaml,merlin,1400,http://github.com/ocaml/merlin
t9md,atom-vim-mode-plus,1400,http://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,1300,http://github.com/MagicStack/MagicPython
atom,apm,1300,http://github.com/atom/apm
file-icons,atom,1200,http://github.com/file-icons/atom
kettanaito,atomic-layout,1100,http://github.com/kettanaito/atomic-layout
atom,github,1000,http://github.com/atom/github
nmdias,FeedKit,999,http://github.com/nmdias/FeedKit
nathanbuchar,atom-one-dark-terminal,973,http://github.com/nathanbuchar/atom-one-dark-terminal
fwcd,kotlin-language-server,972,http://github.com/fwcd/kotlin-language-server
danhper,atomic-chrome,926,http://github.com/danhper/atomic-chrome
jesseweed,seti-ui,901,http://github.com/jesseweed/seti-ui
jpmonette,feed,815,http://github.com/jpmonette/feed
feeddd,feeds,793,http://github.com/feeddd/feeds
prettier,prettier-atom,779,http://github.com/prettier/prettier-atom
raphamorim,lucario,748,http://github.com/raphamorim/lucario
martinrotter,rssguard,737,http://github.com/martinrotter/rssguard
atom-community,atom-script,740,http://github.com/atom-community/atom-script
