username,repo_name,stars,repo_url
sindresorhus,awesome,211000,http://github.com/sindresorhus/awesome
vinta,awesome-python,135000,http://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,96200,http://github.com/awesome-selfhosted/awesome-selfhosted
avelino,awesome-go,84500,http://github.com/avelino/awesome-go
trimstray,the-book-of-secret-knowledge,73200,http://github.com/trimstray/the-book-of-secret-knowledge
papers-we-love,papers-we-love,62900,http://github.com/papers-we-love/papers-we-love
521xueweihan,HelloGitHub,57500,http://github.com/521xueweihan/HelloGitHub
Hack-with-Github,Awesome-Hacking,53600,http://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,51500,http://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,48100,http://github.com/DopplerHQ/awesome-interview-questions
sindresorhus,awesome-nodejs,45700,http://github.com/sindresorhus/awesome-nodejs
wasabeef,awesome-android-ui,43300,http://github.com/wasabeef/awesome-android-ui
MunGell,awesome-for-beginners,41900,http://github.com/MunGell/awesome-for-beginners
Solido,awesome-flutter,41700,http://github.com/Solido/awesome-flutter
prakhar1989,awesome-courses,41500,http://github.com/prakhar1989/awesome-courses
vsouza,awesome-ios,40000,http://github.com/vsouza/awesome-ios
binhnguyennus,awesome-scalability,39700,http://github.com/binhnguyennus/awesome-scalability
fffaraz,awesome-cpp,38800,http://github.com/fffaraz/awesome-cpp
tiimgreen,github-cheat-sheet,36000,http://github.com/tiimgreen/github-cheat-sheet
dypsilon,frontend-dev-bookmarks,34500,http://github.com/dypsilon/frontend-dev-bookmarks
akullpp,awesome-java,32800,http://github.com/akullpp/awesome-java
serhii-londar,open-source-mac-os-apps,31300,http://github.com/serhii-londar/open-source-mac-os-apps
brillout,awesome-react-components,31300,http://github.com/brillout/awesome-react-components
dkhamsing,open-source-ios-apps,31000,http://github.com/dkhamsing/open-source-ios-apps
rust-unofficial,awesome-rust,27300,http://github.com/rust-unofficial/awesome-rust
ziadoz,awesome-php,26900,http://github.com/ziadoz/awesome-php
herrbischoff,awesome-macos-command-line,25900,http://github.com/herrbischoff/awesome-macos-command-line
goabstract,Awesome-Design-Tools,25500,http://github.com/goabstract/Awesome-Design-Tools
alebcay,awesome-shell,24200,http://github.com/alebcay/awesome-shell
sindresorhus,awesome-electron,23000,http://github.com/sindresorhus/awesome-electron
