username,repo_name,stars,repo_url
bregman-arie,devops-exercises,27900,http://github.com/bregman-arie/devops-exercises
microsoft,recommenders,13600,http://github.com/microsoft/recommenders
pulumi,pulumi,13100,http://github.com/pulumi/pulumi
ramitsurana,awesome-kubernetes,12900,http://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,11900,http://github.com/Azure/azure-quickstart-templates
mozilla,sops,10300,http://github.com/mozilla/sops
caprover,caprover,8900,http://github.com/caprover/caprover
microsoft,computervision-recipes,8600,http://github.com/microsoft/computervision-recipes
google,go-cloud,8500,http://github.com/google/go-cloud
infracost,infracost,7500,http://github.com/infracost/infracost
microsoft,azuredatastudio,6900,http://github.com/microsoft/azuredatastudio
node-formidable,formidable,6300,http://github.com/node-formidable/formidable
midwayjs,midway,5900,http://github.com/midwayjs/midway
thangchung,clean-code-dotnet,5200,http://github.com/thangchung/clean-code-dotnet
aquasecurity,tfsec,4800,http://github.com/aquasecurity/tfsec
budtmo,docker-android,4700,http://github.com/budtmo/docker-android
nccgroup,ScoutSuite,4500,http://github.com/nccgroup/ScoutSuite
bridgecrewio,checkov,4400,http://github.com/bridgecrewio/checkov
cloud-custodian,cloud-custodian,4200,http://github.com/cloud-custodian/cloud-custodian
Azure,autorest,3900,http://github.com/Azure/autorest
Azure,azure-sdk-for-net,3900,http://github.com/Azure/azure-sdk-for-net
simov,grant,3700,http://github.com/simov/grant
hashicorp,terraform-provider-azurerm,3500,http://github.com/hashicorp/terraform-provider-azurerm
microsoft,SynapseML,3400,http://github.com/microsoft/SynapseML
Azure,MachineLearningNotebooks,3300,http://github.com/Azure/MachineLearningNotebooks
Azure,azure-powershell,3200,http://github.com/Azure/azure-powershell
sottlmarek,DevSecOps,3200,http://github.com/sottlmarek/DevSecOps
Azure,azure-cli,3200,http://github.com/Azure/azure-cli
learntocloud,learn-to-cloud,2900,http://github.com/learntocloud/learn-to-cloud
Azure,azure-sdk-for-python,2900,http://github.com/Azure/azure-sdk-for-python
