username,repo_name,stars,repo_url
babel,babel,41100,http://github.com/babel/babel
nylas,nylas-mail,24700,http://github.com/nylas/nylas-mail
swc-project,swc,23100,http://github.com/swc-project/swc
kriasoft,react-starter-kit,21300,http://github.com/kriasoft/react-starter-kit
electron-react-boilerplate,electron-react-boilerplate,19900,http://github.com/electron-react-boilerplate/electron-react-boilerplate
avajs,ava,19900,http://github.com/avajs/ava
SimulatedGREG,electron-vue,15000,http://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,14500,http://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,11100,http://github.com/jamiebuilds/babel-handbook
grommet,grommet,8000,http://github.com/grommet/grommet
developit,htm,7800,http://github.com/developit/htm
angular-fullstack,generator-angular-fullstack,6100,http://github.com/angular-fullstack/generator-angular-fullstack
ben-rogerson,twin.macro,6000,http://github.com/ben-rogerson/twin.macro
documentationjs,documentation,5600,http://github.com/documentationjs/documentation
insin,nwb,5500,http://github.com/insin/nwb
egoist,poi,5300,http://github.com/egoist/poi
thinkjs,thinkjs,5300,http://github.com/thinkjs/thinkjs
fkling,astexplorer,4800,http://github.com/fkling/astexplorer
transitive-bullshit,create-react-library,4700,http://github.com/transitive-bullshit/create-react-library
babel,babel-loader,4600,http://github.com/babel/babel-loader
duxianwei520,react,4600,http://github.com/duxianwei520/react
jaredpalmer,backpack,4500,http://github.com/jaredpalmer/backpack
babel,minify,4300,http://github.com/babel/minify
thx,gogocode,3500,http://github.com/thx/gogocode
tleunen,babel-plugin-module-resolver,3200,http://github.com/tleunen/babel-plugin-module-resolver
privatenumber,esbuild-loader,3000,http://github.com/privatenumber/esbuild-loader
andywer,webpack-blocks,3000,http://github.com/andywer/webpack-blocks
babel,babel-eslint,3000,http://github.com/babel/babel-eslint
kunalkapadia,express-mongoose-es6-rest-api,2900,http://github.com/kunalkapadia/express-mongoose-es6-rest-api
kentcdodds,babel-plugin-macros,2500,http://github.com/kentcdodds/babel-plugin-macros
