username,repo_name,stars,repo_url
jlevy,the-art-of-command-line,108000,http://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,59600,http://github.com/nvm-sh/nvm
junegunn,fzf,45800,http://github.com/junegunn/fzf
google,zx,33300,http://github.com/google/zx
dylanaraps,pure-bash-bible,31400,http://github.com/dylanaraps/pure-bash-bible
LeCoupa,awesome-cheatsheets,29600,http://github.com/LeCoupa/awesome-cheatsheets
koalaman,shellcheck,29400,http://github.com/koalaman/shellcheck
mathiasbynens,dotfiles,28000,http://github.com/mathiasbynens/dotfiles
starship,starship,27500,http://github.com/starship/starship
acmesh-official,acme.sh,27400,http://github.com/acmesh-official/acme.sh
alebcay,awesome-shell,24200,http://github.com/alebcay/awesome-shell
withfig,autocomplete,19400,http://github.com/withfig/autocomplete
jaywcjlove,linux-command,19300,http://github.com/jaywcjlove/linux-command
dylanaraps,neofetch,15700,http://github.com/dylanaraps/neofetch
Nyr,openvpn-install,15400,http://github.com/Nyr/openvpn-install
rbenv,rbenv,14300,http://github.com/rbenv/rbenv
powerline,powerline,13400,http://github.com/powerline/powerline
shelljs,shelljs,13400,http://github.com/shelljs/shelljs
Bash-it,bash-it,13000,http://github.com/Bash-it/bash-it
faressoft,terminalizer,12800,http://github.com/faressoft/terminalizer
jessfraz,dockerfiles,12600,http://github.com/jessfraz/dockerfiles
denisidoro,navi,11500,http://github.com/denisidoro/navi
carlospolop,PEASS-ng,9600,http://github.com/carlospolop/PEASS-ng
codota,TabNine,9300,http://github.com/codota/TabNine
direnv,direnv,9300,http://github.com/direnv/direnv
rgcr,m-cli,9000,http://github.com/rgcr/m-cli
skywind3000,awesome-cheatsheets,9000,http://github.com/skywind3000/awesome-cheatsheets
alexanderepstein,Bash-Snippets,8800,http://github.com/alexanderepstein/Bash-Snippets
kanaka,mal,8800,http://github.com/kanaka/mal
extrawurst,gitui,8400,http://github.com/extrawurst/gitui
