username,repo_name,stars,repo_url
ccxt,ccxt,25200,http://github.com/ccxt/ccxt
discordjs,discord.js,20200,http://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,19200,http://github.com/python-telegram-bot/python-telegram-bot
hubotio,hubot,16200,http://github.com/hubotio/hubot
RasaHQ,rasa,14600,http://github.com/RasaHQ/rasa
InstaPy,InstaPy,14400,http://github.com/InstaPy/InstaPy
wechaty,wechaty,13100,http://github.com/wechaty/wechaty
gunthercox,ChatterBot,12400,http://github.com/gunthercox/ChatterBot
tgbot-collection,YYeTsBot,11500,http://github.com/tgbot-collection/YYeTsBot
Rapptz,discord.py,11100,http://github.com/Rapptz/discord.py
howdyai,botkit,10800,http://github.com/howdyai/botkit
botpress,botpress,9800,http://github.com/botpress/botpress
sfyc23,EverydayWechat,9000,http://github.com/sfyc23/EverydayWechat
leon-ai,leon,8900,http://github.com/leon-ai/leon
pedroslopez,whatsapp-web.js,7200,http://github.com/pedroslopez/whatsapp-web.js
microsoft,ailab,7100,http://github.com/microsoft/ailab
EZFNDEV,EZFN-Lobbybot,6900,http://github.com/EZFNDEV/EZFN-Lobbybot
microsoft,botframework-sdk,6800,http://github.com/microsoft/botframework-sdk
yagop,node-telegram-bot-api,6300,http://github.com/yagop/node-telegram-bot-api
maxbbraun,trump2cash,6100,http://github.com/maxbbraun/trump2cash
telegraf,telegraf,5900,http://github.com/telegraf/telegraf
deepmipt,DeepPavlov,5800,http://github.com/deepmipt/DeepPavlov
botman,botman,5700,http://github.com/botman/botman
Mrs4s,go-cqhttp,5400,http://github.com/Mrs4s/go-cqhttp
axa-group,nlp.js,5000,http://github.com/axa-group/nlp.js
jef,streetmerchant,4800,http://github.com/jef/streetmerchant
BotsAppOfficial,BotsApp,4600,http://github.com/BotsAppOfficial/BotsApp
ohld,igbot,4300,http://github.com/ohld/igbot
jesse-ai,jesse,4000,http://github.com/jesse-ai/jesse
orkestral,venom,4000,http://github.com/orkestral/venom
