username,repo_name,stars,repo_url
CyC2018,CS-Notes,155000,http://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,73300,http://github.com/practical-tutorials/project-based-learning
azl397985856,leetcode,48800,http://github.com/azl397985856/leetcode
fffaraz,awesome-cpp,38800,http://github.com/fffaraz/awesome-cpp
x64dbg,x64dbg,38800,http://github.com/x64dbg/x64dbg
youngyangyang04,leetcode-master,29700,http://github.com/youngyangyang04/leetcode-master
microsoft,calculator,25300,http://github.com/microsoft/calculator
huihut,interview,25000,http://github.com/huihut/interview
CMU-Perceptual-Computing-Lab,openpose,24600,http://github.com/CMU-Perceptual-Computing-Lab/openpose
yuzu-emu,yuzu,20900,http://github.com/yuzu-emu/yuzu
TheAlgorithms,C-Plus-Plus,20200,http://github.com/TheAlgorithms/C-Plus-Plus
changkun,modern-cpp-tutorial,18100,http://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,17600,http://github.com/ethereum/solidity
microsoft,vcpkg,16200,http://github.com/microsoft/vcpkg
catchorg,Catch2,15300,http://github.com/catchorg/Catch2
gabime,spdlog,15100,http://github.com/gabime/spdlog
carbon-language,carbon-lang,15000,http://github.com/carbon-language/carbon-lang
doocs,leetcode,14900,http://github.com/doocs/leetcode
AnthonyCalandra,modern-cpp-features,14400,http://github.com/AnthonyCalandra/modern-cpp-features
ssloy,tinyrenderer,14200,http://github.com/ssloy/tinyrenderer
Qv2ray,Qv2ray,13900,http://github.com/Qv2ray/Qv2ray
facebook,infer,13400,http://github.com/facebook/infer
CoatiSoftware,Sourcetrail,12800,http://github.com/CoatiSoftware/Sourcetrail
antlr,antlr4,12600,http://github.com/antlr/antlr4
google,tink,12500,http://github.com/google/tink
kyleneideck,BackgroundMusic,11800,http://github.com/kyleneideck/BackgroundMusic
compiler-explorer,compiler-explorer,11200,http://github.com/compiler-explorer/compiler-explorer
SFTtech,openage,11100,http://github.com/SFTtech/openage
polybar,polybar,11000,http://github.com/polybar/polybar
OpenRCT2,OpenRCT2,10700,http://github.com/OpenRCT2/OpenRCT2
