username,repo_name,stars,repo_url
Genymobile,scrcpy,68000,http://github.com/Genymobile/scrcpy
neovim,neovim,56000,http://github.com/neovim/neovim
git,git,42900,http://github.com/git/git
obsproject,obs-studio,39700,http://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,38800,http://github.com/fffaraz/awesome-cpp
serhii-londar,open-source-mac-os-apps,31300,http://github.com/serhii-londar/open-source-mac-os-apps
FFmpeg,FFmpeg,30700,http://github.com/FFmpeg/FFmpeg
vim,vim,28000,http://github.com/vim/vim
curl,curl,25800,http://github.com/curl/curl
huihut,interview,25000,http://github.com/huihut/interview
ggreer,the_silver_searcher,23900,http://github.com/ggreer/the_silver_searcher
mpv-player,mpv,19500,http://github.com/mpv-player/mpv
ruby,ruby,19400,http://github.com/ruby/ruby
pbatard,rufus,19200,http://github.com/pbatard/rufus
ossrs,srs,18700,http://github.com/ossrs/srs
google,flatbuffers,18200,http://github.com/google/flatbuffers
oracle,graal,17300,http://github.com/oracle/graal
radareorg,radare2,16600,http://github.com/radareorg/radare2
microsoft,vcpkg,16200,http://github.com/microsoft/vcpkg
kovidgoyal,kitty,15300,http://github.com/kovidgoyal/kitty
shadowsocks,shadowsocks-libev,15000,http://github.com/shadowsocks/shadowsocks-libev
hashcat,hashcat,15000,http://github.com/hashcat/hashcat
allinurl,goaccess,14900,http://github.com/allinurl/goaccess
jarun,nnn,14500,http://github.com/jarun/nnn
TheAlgorithms,C,14000,http://github.com/TheAlgorithms/C
vurtun,nuklear,13400,http://github.com/vurtun/nuklear
facebook,infer,13400,http://github.com/facebook/infer
qmk,qmk_firmware,12800,http://github.com/qmk/qmk_firmware
CoatiSoftware,Sourcetrail,12800,http://github.com/CoatiSoftware/Sourcetrail
s-matyukevich,raspberry-pi-os,11600,http://github.com/s-matyukevich/raspberry-pi-os
