username,repo_name,stars,repo_url
CSSEGISandData,COVID-19,28900,http://github.com/CSSEGISandData/COVID-19
covid19india,covid19india-react,6900,http://github.com/covid19india/covid19india-react
nytimes,covid-19-data,6900,http://github.com/nytimes/covid-19-data
tokyo-metropolitan-gov,covid19,6400,http://github.com/tokyo-metropolitan-gov/covid19
owid,covid-19-data,5300,http://github.com/owid/covid-19-data
pcm-dpc,COVID-19,3900,http://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,2800,http://github.com/ieee8023/covid-chestxray-dataset
disease-sh,API,2400,http://github.com/disease-sh/API
geohot,corona,2200,http://github.com/geohot/corona
WorldHealthOrganization,app,2100,http://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,1900,http://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,1800,http://github.com/ahmadawais/corona-cli
github,covid19-dashboard,1600,http://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,1600,http://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,1500,http://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,1500,http://github.com/mhdhejazi/CoronaTracker
neherlab,covid19_scenarios,1400,http://github.com/neherlab/covid19_scenarios
chandrikadeb7,Face-Mask-Detection,1300,http://github.com/chandrikadeb7/Face-Mask-Detection
covidpass-org,covidpass,1200,http://github.com/covidpass-org/covidpass
pomber,covid19,1200,http://github.com/pomber/covid19
chrismattmann,tika-python,1200,http://github.com/chrismattmann/tika-python
datasets,covid-19,1200,http://github.com/datasets/covid-19
FoldingAtHome,coronavirus,1100,http://github.com/FoldingAtHome/coronavirus
lindawangg,COVID-Net,1100,http://github.com/lindawangg/COVID-Net
UCSD-AI4H,COVID-CT,976,http://github.com/UCSD-AI4H/COVID-CT
ImperialCollegeLondon,covid19model,939,http://github.com/ImperialCollegeLondon/covid19model
cirosantilli,china-dictatorship,931,http://github.com/cirosantilli/china-dictatorship
MoH-Malaysia,covid19-public,928,http://github.com/MoH-Malaysia/covid19-public
nychealth,coronavirus-data,918,http://github.com/nychealth/coronavirus-data
makers-for-life,makair,775,http://github.com/makers-for-life/makair
