username,repo_name,stars,repo_url
iamadamdev,bypass-paywalls-chrome,27800,http://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,19300,http://github.com/jaywcjlove/linux-command
refined-github,refined-github,18400,http://github.com/refined-github/refined-github
darkreader,darkreader,14500,http://github.com/darkreader/darkreader
checkly,headless-recorder,14300,http://github.com/checkly/headless-recorder
unbug,codelf,13000,http://github.com/unbug/codelf
Anarios,return-youtube-dislike,9700,http://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,9400,http://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8800,http://github.com/gildas-lormeau/SingleFile
listen1,listen1_chrome_extension,8700,http://github.com/listen1/listen1_chrome_extension
appbaseio,dejavu,7800,http://github.com/appbaseio/dejavu
dailydotdev,daily,7800,http://github.com/dailydotdev/daily
alyssaxuu,screenity,7300,http://github.com/alyssaxuu/screenity
Kenshin,simpread,6100,http://github.com/Kenshin/simpread
ajayyy,SponsorBlock,5200,http://github.com/ajayyy/SponsorBlock
AutomaApp,automa,5000,http://github.com/AutomaApp/automa
alyssaxuu,omni,5000,http://github.com/alyssaxuu/omni
dessant,buster,5000,http://github.com/dessant/buster
manojVivek,medium-unlimited,4900,http://github.com/manojVivek/medium-unlimited
webclipper,web-clipper,4300,http://github.com/webclipper/web-clipper
altair-graphql,altair,4300,http://github.com/altair-graphql/altair
zxlie,FeHelper,4200,http://github.com/zxlie/FeHelper
openstyles,stylus,4000,http://github.com/openstyles/stylus
PlasmoHQ,plasmo,3900,http://github.com/PlasmoHQ/plasmo
bilibili-helper,bilibili-helper-o,3800,http://github.com/bilibili-helper/bilibili-helper-o
hcfyapp,crx-selection-translate,3700,http://github.com/hcfyapp/crx-selection-translate
dejan,rails_panel,3700,http://github.com/dejan/rails_panel
ronggang,PT-Plugin-Plus,3600,http://github.com/ronggang/PT-Plugin-Plus
LasCC,Hack-Tools,3500,http://github.com/LasCC/Hack-Tools
honestbleeps,Reddit-Enhancement-Suite,3500,http://github.com/honestbleeps/Reddit-Enhancement-Suite
