username,repo_name,stars,repo_url
electron,electron,103000,http://github.com/electron/electron
puppeteer,puppeteer,79100,http://github.com/puppeteer/puppeteer
microsoft,playwright,40300,http://github.com/microsoft/playwright
FiloSottile,mkcert,36100,http://github.com/FiloSottile/mkcert
iamadamdev,bypass-paywalls-chrome,27800,http://github.com/iamadamdev/bypass-paywalls-chrome
ovity,octotree,22100,http://github.com/ovity/octotree
jaywcjlove,linux-command,19300,http://github.com/jaywcjlove/linux-command
segmentio,nightmare,19200,http://github.com/segmentio/nightmare
checkly,headless-recorder,14300,http://github.com/checkly/headless-recorder
google,WebFundamentals,13400,http://github.com/google/WebFundamentals
prisma-archive,chromeless,13200,http://github.com/prisma-archive/chromeless
casesandberg,react-color,10800,http://github.com/casesandberg/react-color
GoogleChrome,chrome-extensions-samples,10400,http://github.com/GoogleChrome/chrome-extensions-samples
crimx,ext-saladict,9400,http://github.com/crimx/ext-saladict
gildas-lormeau,SingleFile,8800,http://github.com/gildas-lormeau/SingleFile
MetaMask,metamask-extension,8400,http://github.com/MetaMask/metamask-extension
uBlock-LLC,uBlock,8100,http://github.com/uBlock-LLC/uBlock
chromedp,chromedp,7900,http://github.com/chromedp/chromedp
alvarcarto,url-to-pdf-api,6700,http://github.com/alvarcarto/url-to-pdf-api
kangvcar,InfoSpider,6200,http://github.com/kangvcar/InfoSpider
Kenshin,simpread,6100,http://github.com/Kenshin/simpread
yujiosaka,headless-chrome-crawler,5300,http://github.com/yujiosaka/headless-chrome-crawler
ajayyy,SponsorBlock,5200,http://github.com/ajayyy/SponsorBlock
MontFerret,ferret,5000,http://github.com/MontFerret/ferret
alyssaxuu,omni,5000,http://github.com/alyssaxuu/omni
moonD4rk,HackBrowserData,5000,http://github.com/moonD4rk/HackBrowserData
themerdev,themer,4800,http://github.com/themerdev/themer
browserless,chrome,4700,http://github.com/browserless/chrome
firefox-devtools,debugger,4600,http://github.com/firefox-devtools/debugger
burtonator,polar-bookshelf,4500,http://github.com/burtonator/polar-bookshelf
