username,repo_name,stars,repo_url
metabase,metabase,29200,http://github.com/metabase/metabase
logseq,logseq,15400,http://github.com/logseq/logseq
eclipse,deeplearning4j,12600,http://github.com/eclipse/deeplearning4j
LightTable,LightTable,11700,http://github.com/LightTable/LightTable
penpot,penpot,10700,http://github.com/penpot/penpot
kanaka,mal,8800,http://github.com/kanaka/mal
lk-geimfari,awesomo,8500,http://github.com/lk-geimfari/awesomo
tonsky,datascript,4800,http://github.com/tonsky/datascript
reagent-project,reagent,4500,http://github.com/reagent-project/reagent
riemann,riemann,4100,http://github.com/riemann/riemann
weavejester,compojure,3900,http://github.com/weavejester/compojure
bbatsov,clojure-style-guide,3800,http://github.com/bbatsov/clojure-style-guide
izhangzhihao,intellij-rainbow-brackets,3700,http://github.com/izhangzhihao/intellij-rainbow-brackets
status-im,status-mobile,3500,http://github.com/status-im/status-mobile
ring-clojure,ring,3500,http://github.com/ring-clojure/ring
clojure-emacs,cider,3300,http://github.com/clojure-emacs/cider
viebel,klipse,2900,http://github.com/viebel/klipse
bhauman,lein-figwheel,2900,http://github.com/bhauman/lein-figwheel
tallesl,Rich-Hickey-fanclub,2900,http://github.com/tallesl/Rich-Hickey-fanclub
babashka,babashka,2800,http://github.com/babashka/babashka
twosigma,beakerx,2600,http://github.com/twosigma/beakerx
pedestal,pedestal,2500,http://github.com/pedestal/pedestal
clj-commons,aleph,2400,http://github.com/clj-commons/aleph
weavejester,hiccup,2400,http://github.com/weavejester/hiccup
razum2um,awesome-clojure,2400,http://github.com/razum2um/awesome-clojure
http-kit,http-kit,2300,http://github.com/http-kit/http-kit
defold,defold,2200,http://github.com/defold/defold
onyx-platform,onyx,2000,http://github.com/onyx-platform/onyx
xtdb,xtdb,1900,http://github.com/xtdb/xtdb
anmonteiro,lumo,1900,http://github.com/anmonteiro/lumo
