username,repo_name,stars,repo_url
realm,SwiftLint,16300,http://github.com/realm/SwiftLint
facebook,infer,13400,http://github.com/facebook/infer
analysis-tools-dev,static-analysis,10100,http://github.com/analysis-tools-dev/static-analysis
Kristories,awesome-guidelines,7600,http://github.com/Kristories/awesome-guidelines
checkstyle,checkstyle,7200,http://github.com/checkstyle/checkstyle
SonarSource,sonarqube,7000,http://github.com/SonarSource/sonarqube
facebook,pyre-check,6000,http://github.com/facebook/pyre-check
reviewdog,reviewdog,5300,http://github.com/reviewdog/reviewdog
detekt,detekt,4700,http://github.com/detekt/detekt
simplecov-ruby,simplecov,4500,http://github.com/simplecov-ruby/simplecov
import-js,eslint-plugin-import,4200,http://github.com/import-js/eslint-plugin-import
PyCQA,pylint,4100,http://github.com/PyCQA/pylint
pmd,pmd,3900,http://github.com/pmd/pmd
phpro,grumphp,3800,http://github.com/phpro/grumphp
trekhleb,state-of-the-art-shitcode,3400,http://github.com/trekhleb/state-of-the-art-shitcode
htmlhint,HTMLHint,2800,http://github.com/htmlhint/HTMLHint
kucherenko,jscpd,2700,http://github.com/kucherenko/jscpd
codeclimate,codeclimate,2300,http://github.com/codeclimate/codeclimate
wemake-services,wemake-python-styleguide,2000,http://github.com/wemake-services/wemake-python-styleguide
uber,piranha,1900,http://github.com/uber/piranha
ehmicky,cross-platform-node-guide,1300,http://github.com/ehmicky/cross-platform-node-guide
Tencent,feflow,1200,http://github.com/Tencent/feflow
Tencent,CodeAnalysis,1200,http://github.com/Tencent/CodeAnalysis
urish,typewiz,1100,http://github.com/urish/typewiz
jakzal,phpqa,1000,http://github.com/jakzal/phpqa
imgbot,Imgbot,932,http://github.com/imgbot/Imgbot
sourcery-ai,sourcery,893,http://github.com/sourcery-ai/sourcery
joshuaclayton,unused,870,http://github.com/joshuaclayton/unused
SonarSource,SonarJS,832,http://github.com/SonarSource/SonarJS
pdepend,pdepend,808,http://github.com/pdepend/pdepend
