username,repo_name,stars,repo_url
ovity,octotree,22100,http://github.com/ovity/octotree
gitpod-io,gitpod,8600,http://github.com/gitpod-io/gitpod
reviewdog,reviewdog,5300,http://github.com/reviewdog/reviewdog
danger,danger,4900,http://github.com/danger/danger
danger,danger-js,4500,http://github.com/danger/danger-js
joho,awesome-code-review,3500,http://github.com/joho/awesome-code-review
ajinabraham,nodejsscan,2000,http://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,1900,http://github.com/microsoft/vscode-pull-request-github
mbj,mutant,1900,http://github.com/mbj/mutant
crev-dev,cargo-crev,1700,http://github.com/crev-dev/cargo-crev
reviewboard,reviewboard,1400,http://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,1200,http://github.com/ryanmcdermott/code-review-tips
Tencent,CodeAnalysis,1200,http://github.com/Tencent/CodeAnalysis
bit4woo,python_sec,1100,http://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,1100,http://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,844,http://github.com/jiangsir404/Audit-Learning
TeamCodeStream,codestream,806,http://github.com/TeamCodeStream/codestream
enlightn,enlightn,672,http://github.com/enlightn/enlightn
palantir,policy-bot,503,http://github.com/palantir/policy-bot
bsamseth,cpp-project,484,http://github.com/bsamseth/cpp-project
uwolfer,gerrit-intellij-plugin,448,http://github.com/uwolfer/gerrit-intellij-plugin
mookid,diffr,446,http://github.com/mookid/diffr
mgreiler,code-review-checklist,444,http://github.com/mgreiler/code-review-checklist
JetBrains,Qodana,351,http://github.com/JetBrains/Qodana
wandersoncferreira,code-review,331,http://github.com/wandersoncferreira/code-review
dpnishant,raptor,329,http://github.com/dpnishant/raptor
sjparkinson,static-review,327,http://github.com/sjparkinson/static-review
burrito-brothers,shiba,290,http://github.com/burrito-brothers/shiba
charignon,github-review,286,http://github.com/charignon/github-review
watermelontools,wm-extension,275,http://github.com/watermelontools/wm-extension
