username,repo_name,stars,repo_url
ohmyzsh,ohmyzsh,148000,http://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,45800,http://github.com/junegunn/fzf
sharkdp,bat,35900,http://github.com/sharkdp/bat
sherlock-project,sherlock,34200,http://github.com/sherlock-project/sherlock
google,zx,33300,http://github.com/google/zx
wagoodman,dive,32800,http://github.com/wagoodman/dive
BurntSushi,ripgrep,32200,http://github.com/BurntSushi/ripgrep
chubin,cheat.sh,29800,http://github.com/chubin/cheat.sh
cli,cli,29300,http://github.com/cli/cli
jesseduffield,lazygit,28600,http://github.com/jesseduffield/lazygit
spf13,cobra,27700,http://github.com/spf13/cobra
angular,angular-cli,25500,http://github.com/angular/angular-cli
alebcay,awesome-shell,24200,http://github.com/alebcay/awesome-shell
sharkdp,fd,23900,http://github.com/sharkdp/fd
n8n-io,n8n,23600,http://github.com/n8n-io/n8n
ibraheemdev,modern-unix,23200,http://github.com/ibraheemdev/modern-unix
google,python-fire,22700,http://github.com/google/python-fire
httpie,httpie,22700,http://github.com/httpie/httpie
tqdm,tqdm,22500,http://github.com/tqdm/tqdm
vercel,pkg,21600,http://github.com/vercel/pkg
avajs,ava,19900,http://github.com/avajs/ava
withfig,autocomplete,19400,http://github.com/withfig/autocomplete
chalk,chalk,18800,http://github.com/chalk/chalk
vadimdemedes,ink,18800,http://github.com/vadimdemedes/ink
urfave,cli,18700,http://github.com/urfave/cli
svg,svgo,18000,http://github.com/svg/svgo
gpakosz,.tmux,17000,http://github.com/gpakosz/.tmux
asdf-vm,asdf,15100,http://github.com/asdf-vm/asdf
antonmedv,fx,15000,http://github.com/antonmedv/fx
allinurl,goaccess,14900,http://github.com/allinurl/goaccess
