username,repo_name,stars,repo_url
vercel,next.js,90100,http://github.com/vercel/next.js
rust-lang,rust,69200,http://github.com/rust-lang/rust
webpack,webpack,61400,http://github.com/webpack/webpack
sveltejs,svelte,60900,http://github.com/sveltejs/svelte
gatsbyjs,gatsby,53300,http://github.com/gatsbyjs/gatsby
JetBrains,kotlin,42100,http://github.com/JetBrains/kotlin
babel,babel,41100,http://github.com/babel/babel
parcel-bundler,parcel,41100,http://github.com/parcel-bundler/parcel
evanw,esbuild,32600,http://github.com/evanw/esbuild
vlang,v,30000,http://github.com/vlang/v
markedjs,marked,27900,http://github.com/markedjs/marked
swc-project,swc,23100,http://github.com/swc-project/swc
vercel,pkg,21600,http://github.com/vercel/pkg
v8,v8,19900,http://github.com/v8/v8
ziglang,zig,16300,http://github.com/ziglang/zig
carbon-language,carbon-lang,15000,http://github.com/carbon-language/carbon-lang
AssemblyScript,assemblyscript,14300,http://github.com/AssemblyScript/assemblyscript
nim-lang,Nim,13300,http://github.com/nim-lang/Nim
Konloch,bytecode-viewer,13100,http://github.com/Konloch/bytecode-viewer
RustPython,RustPython,11700,http://github.com/RustPython/RustPython
gopherjs,gopherjs,11200,http://github.com/gopherjs/gopherjs
compiler-explorer,compiler-explorer,11200,http://github.com/compiler-explorer/compiler-explorer
apache,tvm,8300,http://github.com/apache/tvm
numba,numba,7700,http://github.com/numba/numba
Nuitka,Nuitka,7100,http://github.com/Nuitka/Nuitka
JetBrains,kotlin-native,7100,http://github.com/JetBrains/kotlin-native
aalhour,awesome-compilers,6900,http://github.com/aalhour/awesome-compilers
elm,compiler,6900,http://github.com/elm/compiler
DoctorWkt,acwj,6600,http://github.com/DoctorWkt/acwj
rescript-lang,rescript-compiler,5800,http://github.com/rescript-lang/rescript-compiler
