username,repo_name,stars,repo_url
localstack,localstack,42300,http://github.com/localstack/localstack
harness,drone,25400,http://github.com/harness/drone
jenkinsci,jenkins,19200,http://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12400,http://github.com/auchenberg/volkswagen
openshift,origin,8200,http://github.com/openshift/origin
theonedev,onedev,7900,http://github.com/theonedev/onedev
gocd,gocd,6500,http://github.com/gocd/gocd
concourse,concourse,6400,http://github.com/concourse/concourse
buildbot,buildbot,4900,http://github.com/buildbot/buildbot
gaia-pipeline,gaia,4700,http://github.com/gaia-pipeline/gaia
Strider-CD,strider,4600,http://github.com/Strider-CD/strider
jenkins-x,jx,4200,http://github.com/jenkins-x/jx
ovh,cds,3900,http://github.com/ovh/cds
xcpretty,xcpretty,3800,http://github.com/xcpretty/xcpretty
iterative,cml,3400,http://github.com/iterative/cml
cake-build,cake,3300,http://github.com/cake-build/cake
werf,werf,3300,http://github.com/werf/werf
JamesIves,github-pages-deploy-action,3100,http://github.com/JamesIves/github-pages-deploy-action
ligurio,awesome-ci,2900,http://github.com/ligurio/awesome-ci
tox-dev,tox,2900,http://github.com/tox-dev/tox
TheLartians,ModernCppStarter,2800,http://github.com/TheLartians/ModernCppStarter
dancryer,PHPCI,2400,http://github.com/dancryer/PHPCI
shivammathur,setup-php,2200,http://github.com/shivammathur/setup-php
dreamans,syncd,2100,http://github.com/dreamans/syncd
Flagsmith,flagsmith,1800,http://github.com/Flagsmith/flagsmith
lastbackend,lastbackend,1600,http://github.com/lastbackend/lastbackend
nuke-build,nuke,1600,http://github.com/nuke-build/nuke
k1LoW,tbls,1400,http://github.com/k1LoW/tbls
FlowCI,flow-core-x,1400,http://github.com/FlowCI/flow-core-x
bors-ng,bors-ng,1300,http://github.com/bors-ng/bors-ng
